index,epsilon,pvalue,symbol,product
PIGC,2.7774199999999998,0.003517016,PIGC,6.815304499299927
CDK8,2.61602,0.003182285,CDK8,6.532884658566204
KCNK5,2.75222,0.004239646,KCNK5,6.530110982025355
SLC12A7,2.202853333333333,0.003815603,SLC12A7,5.327461671801677
ZCCHC14,2.21332,0.003924741,ZCCHC14,5.325666222833447
CPSF6,2.148053333333333,0.003492084,CPSF6,5.277585156316759
IDE,2.05672,0.004705998,IDE,4.786703779918521
EPC2,1.8734200000000003,0.00532663,EPC2,4.259309240999987
PIGV,2.0140100000000003,0.008150069,PIGV,4.206942051065777
EPC1,1.7717866666666666,0.00532663,EPC1,4.028241036400751
PIGK,1.7785199999999999,0.005568315,PIGK,4.009275308162404
YBEY,1.8384866666666668,0.007071449,YBEY,3.9536500616604147
GFPT1,1.89692,0.009163925,GFPT1,3.8657683477214886
UFM1,1.6793533333333335,0.005418442,UFM1,3.8056255465837427
TDP1,1.58982,0.004755098,TDP1,3.6928982758294877
PPRC1,1.8018533333333333,0.00895839,PPRC1,3.6897812272296275
RPRD1B,1.4759566666666668,0.003205195,RPRD1B,3.681250800026685
APEX1,1.5706533333333335,0.004545626,APEX1,3.6791083184172426
NXF1,1.48382,0.003430456,NXF1,3.6570941725642188
LIG4,1.6183866666666669,0.005959496,LIG4,3.6005712719882705
DDRGK1,1.6257533333333334,0.00637527,DDRGK1,3.5693437595715403
UFL1,1.6355866666666667,0.006839757,UFL1,3.5409786317403382
TTC3,1.995986666666667,0.017067218696684084,TTC3,3.5285795728407594
PIGB,1.7660533333333333,0.011498798297509473,PIGB,3.4249911945674403
UBA1,1.4939200000000001,0.005568315,UBA1,3.367708301
RBM12,1.6083866666666666,0.008531766,RBM12,3.327689419117666
OBFC1,1.6247866666666666,0.009253292,OBFC1,3.3043347244070165
PIGT,1.7671833333333336,0.014041110235911166,PIGT,3.273881282718487
CHD2,1.6894533333333337,0.012477695866971093,CHD2,3.2164920911135293
CCNC,1.5306866666666665,0.008366266,CCNC,3.179953061455001
NONO,1.7353033333333336,0.016261417,NONO,3.104182798469657
UIMC1,1.6203533333333335,0.013655972528383182,UIMC1,3.021436185
SLC25A5,1.3330966666666668,0.005839618,SLC25A5,2.9776254461441973
HIF1A,1.5987200000000001,0.015583964317499255,HIF1A,2.889401915554643
SRSF9,1.341756666666667,0.007310165,SRSF9,2.866089957166824
MCPH1,1.5683866666666666,0.015023184391980384,MCPH1,2.8595421729144053
AHCYL1,1.7921533333333335,0.026716626661059152,AHCYL1,2.8194485608099136
MAP2K3,1.3142233333333335,0.007581081,MAP2K3,2.7865067866891784
CPNE1,1.5886866666666668,0.018015432306283625,CPNE1,2.7712340259349375
EZH2,1.5147533333333334,0.015727005242158556,EZH2,2.731636434893979
CMAS,1.3857,0.010827176470600459,CMAS,2.7235722661026824
CCDC6,1.4787533333333331,0.015631516916695527,CCDC6,2.6706268564711784
RAI14,1.3304033333333334,0.010487889736248344,RAI14,2.6332831324650674
MCM3AP,1.9925033333333335,0.051052776,MCM3AP,2.574275732087517
GNPNAT1,1.5269266666666668,0.020956917331395136,GNPNAT1,2.5632099571792573
STRIP2,1.3778266666666668,0.013825978,STRIP2,2.561798838636294
HSP90B1,1.4036733333333333,0.015254646,HSP90B1,2.549909998518276
TAF6L,1.30932,0.011390353787434877,TAF6L,2.5446146955005724
SHD,1.6552433333333334,0.029742355011121206,SHD,2.5269352691979887
NTC_2242,1.0718133333333335,0.004522816,NTC,2.512963966596309
MGA,1.3287666666666667,0.013239012876775395,MGA,2.495615667822707
TULP3,1.18019,0.007860965,TULP3,2.4837383537071176
MPI,1.2752333333333334,0.012017081,MPI,2.4487043363493832
NHEJ1,2.648353333333333,0.12218064436892184,NHEJ1,2.4179402075464522
KLF16,1.1427033333333334,0.009373658,KLF16,2.317506248357351
COMMD9,1.3209133333333334,0.017854262101613765,COMMD9,2.309297426534498
MLST8,1.3086866666666668,0.017694357,MLST8,2.2930352673024808
S100A6,1.1129466666666668,0.009618587,S100A6,2.2446895605792685
NTC_17968,0.9907133333333333,0.005715676,NTC,2.222103067462984
SPSB3,1.7188400000000001,0.051228854117793224,SPSB3,2.2181378532144405
PIGF,1.3512766666666667,0.022942449270450985,PIGF,2.215229213438718
CYP11B1,1.1214933333333335,0.010622452652884263,CYP11B1,2.213575723813732
PIP5K1A,1.2460200000000001,0.016964614,PIP5K1A,2.206023608652105
LIG3,1.3593533333333334,0.023861971,LIG3,2.2052703359410666
MORF4L1,1.12932,0.011535149555599545,MORF4L1,2.188595926335268
HELLS,1.2770933333333334,0.019524241487884966,HELLS,2.183096330503134
CD79A,1.4227133333333335,0.029742355011121206,CD79A,2.171949240066356
MSI2,1.3400566666666667,0.024660776777337124,MSI2,2.1548020718068246
DCLRE1C,1.2699533333333335,0.020529879,DCLRE1C,2.1431905376055798
PKM,1.19845,0.016609748,PKM,2.1328059122727727
PRKDC,1.0652933333333334,0.010354845407143896,PRKDC,2.1144542698023474
ERCC6L2,1.0757733333333335,0.011318562771641484,ERCC6L2,2.0936794380479054
SP3,1.3765166666666666,0.030671436745637402,SP3,2.083035705
CX3CR1,1.0937666666666668,0.012477695866971093,CX3CR1,2.0823847356089193
FYTTD1,0.8893433333333333,0.004641244,FYTTD1,2.0751631332124307
PAM,1.3067700000000002,0.026945435468479446,PAM,2.050994846473286
PAN3,1.1124933333333333,0.014347257923106432,PAN3,2.050582304131492
ACVRL1,1.34206,0.031450028,ACVRL1,2.0162827189408485
MYC,1.2770566666666667,0.026489497686282996,MYC,2.0138242149387002
NTC_17198,0.9494866666666667,0.007621513,NTC,2.0109736679367685
ACTR3C,1.2345533333333336,0.024099164350971727,ACTR3C,1.9975048446147035
RAD51C,1.1887333333333334,0.021018550452485067,RAD51C,1.9939780105983782
KCTD3,1.0822800000000001,0.014885797503858676,KCTD3,1.977572204195257
PCID2,1.04551,0.013783302087781817,PCID2,1.9453247578080697
SENP1,1.2039333333333335,0.024238518,SENP1,1.9449470083886506
HK2,1.2072566666666669,0.024519321,HK2,1.9442766717459166
FIS1,1.1186133333333335,0.018617343,FIS1,1.9352931308242973
KLF12,1.1981266666666668,0.024378569,KLF12,1.9325684781878902
PHF23,1.22352,0.026716626661059152,PHF23,1.924864150271077
