chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	epsilon	go=peroxisome organization
chr1	68162986	68163302	317	68163085	21	7.4069	3.53224	3.36232	GoodSOCS3peaks_peak_1	CTBP2P8	0.054	1.0		
chr1	119648150	119648478	329	119648319	20	6.77724	3.37169	2.80952	GoodSOCS3peaks_peak_2	ZNF697	0.048	1.0	0.1755	
chr1	121775126	121775591	466	121775427	261	20.6407	1.89382	15.8443	GoodSOCS3peaks_peak_3	LINC01691	194.8345			
chr1	122420317	122420638	322	122420453	29	10.3968	3.87969	6.07486	GoodSOCS3peaks_peak_4	LINC01691	839.9535			
chr1	122524599	122524989	391	122524710	341	24.6077	1.84394	19.7063	GoodSOCS3peaks_peak_5	LINC01691	944.27			
chr1	122527131	122527490	360	122527282	234	46.8936	3.02246	41.614	GoodSOCS3peaks_peak_6	LINC01691	946.7865			
chr1	122582853	122583171	319	122582970	44	15.1645	4.05447	10.5652	GoodSOCS3peaks_peak_7	LINC01691	1002.488			
chr1	122603035	122603351	317	122603045	58	6.51654	2.01525	2.58411	GoodSOCS3peaks_peak_8	LINC01691	1022.669			
chr1	122652811	122653144	334	122653029	55	7.61024	2.21894	3.54184	GoodSOCS3peaks_peak_9	LINC01691	1072.4535			
chr1	122800757	122801069	313	122800893	43	9.78532	2.90652	5.51028	GoodSOCS3peaks_peak_10	LINC01691	1220.389			
chr1	122806106	122806448	343	122806179	109	33.3703	4.03566	28.276	GoodSOCS3peaks_peak_11	LINC01691	1225.753			
chr1	122890033	122890402	370	122890126	103	17.2436	2.59683	12.5612	GoodSOCS3peaks_peak_12	LINC01691	1309.6935			
chr1	122998450	122998857	408	122998762	61	15.8841	3.3505	11.2536	GoodSOCS3peaks_peak_13	LINC01691	1418.1295			
chr1	123156309	123156631	323	123156423	41	8.23412	2.65627	4.09752	GoodSOCS3peaks_peak_14	LINC01691	1575.946			
chr1	123185795	123186135	341	123185893	36	8.78642	2.97299	4.59816	GoodSOCS3peaks_peak_15	LINC01691	1605.441			
chr1	123311404	123311727	324	123311536	103	24.2541	3.25307	19.3616	GoodSOCS3peaks_peak_16	LINC01691	1731.0415			
chr1	123486279	123486632	354	123486569	22	10.9054	4.90585	6.54764	GoodSOCS3peaks_peak_17	LINC01691	1905.9315			
chr1	123506574	123506883	310	123506783	44	9.00092	2.71404	4.79237	GoodSOCS3peaks_peak_18	LINC01691	1926.2045			
chr1	123525783	123526101	319	123525874	45	8.45892	2.57972	4.30456	GoodSOCS3peaks_peak_19	LINC01691	1945.418			
chr1	123665187	123665496	310	123665251	47	5.84461	2.06741	2.01257	GoodSOCS3peaks_peak_20	LINC01691	2084.8175			
chr1	123705821	123706162	342	123705858	27	7.44692	3.08401	3.3985	GoodSOCS3peaks_peak_21	LINC01691	2125.4675			
chr1	123926161	123926599	439	123926389	75	10.3606	2.28116	6.0418	GoodSOCS3peaks_peak_22	LINC01691	2345.856			
chr1	124055730	124056071	342	124055949	236	39.0032	2.67726	33.8144	GoodSOCS3peaks_peak_23	LINC01691	2475.3765			
chr1	124156115	124156512	398	124156196	61	12.5772	2.83481	8.11111	GoodSOCS3peaks_peak_24	LINC01691	2575.7895			
chr1	124380262	124380579	318	124380452	40	8.68266	2.78549	4.50344	GoodSOCS3peaks_peak_25	LINC01691	2799.8965			
chr1	124407455	124407797	343	124407545	28	6.03362	2.61288	2.16774	GoodSOCS3peaks_peak_26	LINC01691	2827.102			
chr1	124560393	124560731	339	124560449	61	5.92634	1.89933	2.07695	GoodSOCS3peaks_peak_27	LINC01691	2980.038			
chr1	124579342	124579659	318	124579557	23	8.92324	3.93259	4.72131	GoodSOCS3peaks_peak_28	LINC01691	2998.9765			
chr1	124648560	124648895	336	124648799	50	11.42	2.97235	7.02878	GoodSOCS3peaks_peak_29	LINC01691	3068.2035			
chr1	124664971	124665311	341	124665074	51	9.07895	2.53356	4.86412	GoodSOCS3peaks_peak_30	LINC01691	3084.617			
chr1	124722165	124722485	321	124722388	92	15.9544	2.63187	11.3208	GoodSOCS3peaks_peak_31	LINC01691	3141.801			
chr1	124727285	124727637	353	124727513	188	31.1715	2.66127	26.1215	GoodSOCS3peaks_peak_32	LINC01691	3146.937			
chr1	124750519	124751171	653	124750656	96	8.11667	1.85939	3.99563	GoodSOCS3peaks_peak_33	LINC01691	3170.321			
chr1	124913875	124914198	324	124914108	70	11.8768	2.54204	7.45434	GoodSOCS3peaks_peak_34	LINC01691	3333.5125			
chr1	125179714	125180568	855	125180303	8750	36.1301	1.14798	30.9863	GoodSOCS3peaks_peak_35	LINC01691	3599.617			
chr1	125182233	125182628	396	125182502	5641	137.027	1.42121	131.054	GoodSOCS3peaks_peak_36	LINC01691	3601.9065			
chr1	143184890	143185317	428	143185211	1558	59.8087	1.55987	54.3897	GoodSOCS3peaks_peak_37	ENSG00000276118	158.0765			
chr1	143186994	143187322	329	143187234	232	16.0425	1.79795	11.4052	GoodSOCS3peaks_peak_38	ENSG00000276118	156.022			
chr1	143192822	143193206	385	143193124	1174	15.3335	1.27531	10.7267	GoodSOCS3peaks_peak_39	ENSG00000276118	150.166			
chr1	143194952	143195264	313	143195078	1075	77.8712	1.87696	72.276	GoodSOCS3peaks_peak_40	ENSG00000276118	148.072			
chr1	143214360	143214804	445	143214702	4379	117.858	1.44877	111.983	GoodSOCS3peaks_peak_41	ENSG00000276118	128.598			
chr1	143217254	143217775	522	143217527	2637	63.6421	1.41582	58.1783	GoodSOCS3peaks_peak_42	ENSG00000276118	125.6655			
chr1	143222196	143222752	557	143222227	483	10.8507	1.37235	6.49766	GoodSOCS3peaks_peak_43	ENSG00000276118	120.706			
chr1	143232897	143233244	348	143233062	5013	336.217	1.84046	329.728	GoodSOCS3peaks_peak_44	ENSG00000276118	110.1095			
