chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	epsilon	go=peroxisome organization
chr1	827442	828346	905	827924	397	517.011	46.4431	511.482	BadSOCS3peaks_peak_1	LINC01128	0.073	1.0		
chr1	3495735	3496111	377	3495989	34	17.968	5.9494	13.6667	BadSOCS3peaks_peak_2	MEGF6	0.091	1.0	-0.645803333	
chr1	9252681	9253014	334	9252809	29	16.9521	6.39287	12.6741	BadSOCS3peaks_peak_3	H6PD	12.6825		-0.103723333	
chr1	10210376	10210773	398	10210572	36	11.3658	3.63041	7.25981	BadSOCS3peaks_peak_4	KIF1B	0.0045	1.0	0.093004	
chr1	13804002	13804779	778	13804335	109	91.6585	14.6897	86.7859	BadSOCS3peaks_peak_5	PRDM2	32.6645		-0.202113333	
chr1	15526828	15527564	737	15527310	71	71.744	18.4651	66.9553	BadSOCS3peaks_peak_6	DNAJC16	0.348	1.0	0.069873333	
chr1	16167499	16168627	1129	16168050	459	764.195	96.7654	758.529	BadSOCS3peaks_peak_7	ENSG00000224621	8.797			
chr1	21931181	21931594	414	21931377	39	24.3004	7.51103	19.8863	BadSOCS3peaks_peak_8	HSPG2	5.9225		-0.05848	
chr1	22026556	22026970	415	22026786	19	9.50083	4.71239	5.47964	BadSOCS3peaks_peak_9	LINC01635	0.715	1.0		
chr1	26927308	26927894	587	26927639	73	71.088	17.4359	66.3027	BadSOCS3peaks_peak_10	NUDC	5.459		-0.195521667	
chr1	31644917	31645361	445	31645133	58	39.2054	9.20885	34.621	BadSOCS3peaks_peak_11	PEF1-AS1	0.09	1.0		
chr1	31877212	31877516	305	31877366	31	13.1386	4.60593	8.96851	BadSOCS3peaks_peak_12	ENSG00000203620	21.796			
chr1	36089065	36089370	306	36089171	35	16.8886	5.41687	12.6128	BadSOCS3peaks_peak_13	ADPRS	0.3255	1.0		
chr1	36323236	36323815	580	36323546	83	67.2725	13.1109	62.508	BadSOCS3peaks_peak_14	EVA1B	0.1195	1.0	-0.04138	
chr1	37473921	37474690	770	37474392	184	208.316	29.1765	203.127	BadSOCS3peaks_peak_15	ZC3H12A-DT	0.0805	1.0		
chr1	48023025	48023520	496	48023272	50	41.5056	12.0166	36.9044	BadSOCS3peaks_peak_16	TRABD2B	25.8875		-0.10287	
chr1	59814221	59814724	504	59814484	53	32.0824	7.7725	27.5667	BadSOCS3peaks_peak_17	HOOK1	0.3135	1.0	-0.373333333	
chr1	67700688	67701046	359	67700861	35	16.2016	5.18167	11.9427	BadSOCS3peaks_peak_18	GADD45A	15.191		0.1359833333333333	
chr1	70314269	70314654	386	70314471	31	22.0474	8.30375	17.669	BadSOCS3peaks_peak_19	ANKRD13C	0.6715	1.0	0.3209666666666667	
chr1	89820580	89822889	2310	89821540	2326	5122.79	363.203	5116.08	BadSOCS3peaks_peak_20	LRRC8D	0.1865	1.0	-1.064683333	
chr1	112508663	112509075	413	112508930	28	14.4457	5.50015	10.2346	BadSOCS3peaks_peak_21	WNT2B	0.096	1.0	-0.472986667	
chr1	117605026	117605718	693	117605360	110	130.18	28.467	125.177	BadSOCS3peaks_peak_22	TENT5C-DT	0.313	1.0		
chr1	119631231	119631907	677	119631599	116	104.562	16.8404	99.6396	BadSOCS3peaks_peak_23	ZNF697	16.697		0.1755	
chr1	121519984	121520400	417	121520198	44	29.2919	8.4499	24.8087	BadSOCS3peaks_peak_24	ENSG00000272583	0.591	1.0		
chr1	121610269	121610564	296	121610477	52	7.38179	2.23545	3.50139	BadSOCS3peaks_peak_25	LINC01691	29.8925			
