chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	go=peroxisome organization
chr1	181049	181989	941	181491	92	15.34	2.57105	12.0496	HEK293Ts4peaks_peak_1	DDX11L17	1.177		
chr1	199820	200104	285	199943	38	7.63492	2.62817	4.58241	HEK293Ts4peaks_peak_2	WASH9P	4.551		
chr1	586090	586445	356	586220	53	28.6088	6.7211	25.1505	HEK293Ts4peaks_peak_3	ENSG00000235146	1.3615		
chr1	609575	611092	1518	610060	35	7.38628	2.67902	4.34635	HEK293Ts4peaks_peak_4	ENSG00000230021	2.4795		
chr1	790594	790872	279	790681	40	6.69978	2.37108	3.70581	HEK293Ts4peaks_peak_5	LINC01409	4.933		
chr1	860216	860513	298	860288	35	12.9425	4.15039	9.70327	HEK293Ts4peaks_peak_6	ENSG00000288531	0.1375	1.0	
chr1	908995	909810	816	909349	26	11.0309	4.41471	7.83968	HEK293Ts4peaks_peak_7	ENSG00000230699	2.0325		
chr1	1009762	1010460	699	1010149	70	55.9336	12.3535	52.279	HEK293Ts4peaks_peak_8	ENSG00000231702	1.882		
chr1	1205943	1206301	359	1206108	32	12.568	4.30988	9.33529	HEK293Ts4peaks_peak_9	TNFRSF18	0.442	1.0	
chr1	1364442	1364921	480	1364682	40	23.8581	7.1555	20.4484	HEK293Ts4peaks_peak_10	MXRA8	2.9045		
chr1	1407912	1408396	485	1408204	51	36.2522	9.60379	32.7287	HEK293Ts4peaks_peak_11	MRPL20	0.861	1.0	
chr1	1500984	1501431	448	1501178	54	33.7875	8.1531	30.2832	HEK293Ts4peaks_peak_12	ENSG00000290916	2.0425		
chr1	1510441	1510795	355	1510562	35	18.2068	5.88627	14.8684	HEK293Ts4peaks_peak_13	ATAD3A	1.544		
chr1	1623172	1628350	5179	1626098	1800	3694.52	260.22	3688.87	HEK293Ts4peaks_peak_14	MIB2	0.194	1.0	
chr1	1678918	1679198	281	1679102	31	11.5818	4.08579	8.37741	HEK293Ts4peaks_peak_15	ENSG00000269737	5.783		
chr1	1928467	1928828	362	1928550	20	7.73146	3.76871	4.66954	HEK293Ts4peaks_peak_16	CFAP74	0.7185	1.0	
chr1	2046512	2046815	304	2046690	28	12.9711	4.91106	9.73093	HEK293Ts4peaks_peak_17	PRKCZ-DT	2.9875		
chr1	2228546	2228921	376	2228902	25	5.57135	2.61231	2.66506	HEK293Ts4peaks_peak_18	SKI	0.4145	1.0	
chr1	2281800	2282288	489	2282006	25	11.3481	4.66603	8.14946	HEK293Ts4peaks_peak_19	SKI	21.602		
chr1	2487943	2491788	3846	2489886	927	1750.62	169.453	1745.59	HEK293Ts4peaks_peak_20	ENSG00000224387	3.3925		
chr1	2553191	2553484	294	2553432	17	6.86432	3.72136	3.85919	HEK293Ts4peaks_peak_21	TNFRSF14-AS1	0.8125	1.0	
chr1	2554455	2556922	2468	2555596	382	623.627	87.45	619.202	HEK293Ts4peaks_peak_22	TNFRSF14	0.0495	1.0	
chr1	2623024	2625567	2544	2624138	459	785.008	105.031	780.471	HEK293Ts4peaks_peak_23	MMEL1	5.1985		
chr1	2679291	2679663	373	2679327	45	4.51508	1.86528	1.75591	HEK293Ts4peaks_peak_24	MMEL1	46.461		
chr1	2756515	2757038	524	2756921	51	8.41384	2.4227	5.32246	HEK293Ts4peaks_peak_25	ENSG00000285945	11.3145		
chr1	2759528	2759904	377	2759606	43	6.06984	2.17987	3.12662	HEK293Ts4peaks_peak_26	ENSG00000285945	8.375		
chr1	3334511	3334861	351	3334658	18	4.99891	2.81256	2.15927	HEK293Ts4peaks_peak_27	ENSG00000287828	11.537		
chr1	3338156	3339001	846	3338615	147	113.347	13.1768	109.48	HEK293Ts4peaks_peak_28	ENSG00000287828	15.4295		
